run_id,fusion_type,pruned,prune_amount,test_accuracy,svm_model_path
run1,representations,unpruned,N/A,69.32,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1_unpruned_representations_fusion_svm_acc_69.32.joblib
run2,representations,unpruned,N/A,69.53,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2_unpruned_representations_fusion_svm_acc_69.53.joblib
run3,representations,unpruned,N/A,68.32,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3_unpruned_representations_fusion_svm_acc_68.32.joblib
run1,representations,pruned,4_00percent,68.72,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_4_00percent_representations_fusion_svm_acc_68.72.joblib
run2,representations,pruned,4_00percent,69.26,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_4_00percent_representations_fusion_svm_acc_69.26.joblib
run3,representations,pruned,4_00percent,68.45,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_4_00percent_representations_fusion_svm_acc_68.45.joblib
run1,representations,pruned,7_84percent,68.59,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_7_84percent_representations_fusion_svm_acc_68.59.joblib
run2,representations,pruned,7_84percent,69.15,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_7_84percent_representations_fusion_svm_acc_69.15.joblib
run3,representations,pruned,7_84percent,68.27,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_7_84percent_representations_fusion_svm_acc_68.27.joblib
run1,representations,pruned,11_53percent,69.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_11_53percent_representations_fusion_svm_acc_69.50.joblib
run2,representations,pruned,11_53percent,68.88,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_11_53percent_representations_fusion_svm_acc_68.88.joblib
run3,representations,pruned,11_53percent,68.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_11_53percent_representations_fusion_svm_acc_68.99.joblib
run1,representations,pruned,15_07percent,68.94,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_15_07percent_representations_fusion_svm_acc_68.94.joblib
run2,representations,pruned,15_07percent,69.18,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_15_07percent_representations_fusion_svm_acc_69.18.joblib
run3,representations,pruned,15_07percent,68.4,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_15_07percent_representations_fusion_svm_acc_68.40.joblib
run1,representations,pruned,18_46percent,68.62,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_18_46percent_representations_fusion_svm_acc_68.62.joblib
run2,representations,pruned,18_46percent,69.96,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_18_46percent_representations_fusion_svm_acc_69.96.joblib
run3,representations,pruned,18_46percent,69.02,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_18_46percent_representations_fusion_svm_acc_69.02.joblib
run1,representations,pruned,21_72percent,69.48,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_21_72percent_representations_fusion_svm_acc_69.48.joblib
run2,representations,pruned,21_72percent,71.26,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_21_72percent_representations_fusion_svm_acc_71.26.joblib
run3,representations,pruned,21_72percent,69.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_21_72percent_representations_fusion_svm_acc_69.50.joblib
run1,representations,pruned,24_86percent,69.23,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_24_86percent_representations_fusion_svm_acc_69.23.joblib
run2,representations,pruned,24_86percent,70.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_24_86percent_representations_fusion_svm_acc_70.99.joblib
run3,representations,pruned,24_86percent,68.72,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_24_86percent_representations_fusion_svm_acc_68.72.joblib
run1,representations,pruned,27_86percent,70.39,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_27_86percent_representations_fusion_svm_acc_70.39.joblib
run2,representations,pruned,27_86percent,69.77,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_27_86percent_representations_fusion_svm_acc_69.77.joblib
run3,representations,pruned,27_86percent,68.51,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_27_86percent_representations_fusion_svm_acc_68.51.joblib
run1,representations,pruned,30_75percent,70.15,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_30_75percent_representations_fusion_svm_acc_70.15.joblib
run2,representations,pruned,30_75percent,69.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_30_75percent_representations_fusion_svm_acc_69.99.joblib
run3,representations,pruned,30_75percent,69.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_30_75percent_representations_fusion_svm_acc_69.50.joblib
run1,representations,pruned,33_52percent,70.96,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_33_52percent_representations_fusion_svm_acc_70.96.joblib
run2,representations,pruned,33_52percent,70.23,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_33_52percent_representations_fusion_svm_acc_70.23.joblib
run3,representations,pruned,33_52percent,68.51,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_33_52percent_representations_fusion_svm_acc_68.51.joblib
run1,representations,pruned,36_18percent,71.63,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_36_18percent_representations_fusion_svm_acc_71.63.joblib
run2,representations,pruned,36_18percent,70.93,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_36_18percent_representations_fusion_svm_acc_70.93.joblib
run3,representations,pruned,36_18percent,69.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_36_18percent_representations_fusion_svm_acc_69.99.joblib
run1,representations,pruned,38_73percent,69.85,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_38_73percent_representations_fusion_svm_acc_69.85.joblib
run2,representations,pruned,38_73percent,70.8,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_38_73percent_representations_fusion_svm_acc_70.80.joblib
run3,representations,pruned,38_73percent,67.86,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_38_73percent_representations_fusion_svm_acc_67.86.joblib
run1,representations,pruned,41_18percent,70.23,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_41_18percent_representations_fusion_svm_acc_70.23.joblib
run2,representations,pruned,41_18percent,71.07,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_41_18percent_representations_fusion_svm_acc_71.07.joblib
run3,representations,pruned,41_18percent,68.8,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_41_18percent_representations_fusion_svm_acc_68.80.joblib
run1,representations,pruned,43_53percent,70.61,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_43_53percent_representations_fusion_svm_acc_70.61.joblib
run2,representations,pruned,43_53percent,71.96,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_43_53percent_representations_fusion_svm_acc_71.96.joblib
run3,representations,pruned,43_53percent,70.29,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_43_53percent_representations_fusion_svm_acc_70.29.joblib
run1,representations,pruned,45_79percent,71.28,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_45_79percent_representations_fusion_svm_acc_71.28.joblib
run2,representations,pruned,45_79percent,71.17,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_45_79percent_representations_fusion_svm_acc_71.17.joblib
run3,representations,pruned,45_79percent,69.42,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_45_79percent_representations_fusion_svm_acc_69.42.joblib
run1,representations,pruned,47_96percent,71.28,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_47_96percent_representations_fusion_svm_acc_71.28.joblib
run2,representations,pruned,47_96percent,71.58,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_47_96percent_representations_fusion_svm_acc_71.58.joblib
run3,representations,pruned,47_96percent,69.32,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_47_96percent_representations_fusion_svm_acc_69.32.joblib
run1,representations,pruned,50_04percent,71.17,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run1__pruned_50_04percent_representations_fusion_svm_acc_71.17.joblib
run2,representations,pruned,50_04percent,70.61,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run2__pruned_50_04percent_representations_fusion_svm_acc_70.61.joblib
run3,representations,pruned,50_04percent,70.61,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run3__pruned_50_04percent_representations_fusion_svm_acc_70.61.joblib
run4,representations,unpruned,N/A,68.53,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4_unpruned_representations_fusion_svm_acc_68.53.joblib
run5,representations,unpruned,N/A,69.59,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5_unpruned_representations_fusion_svm_acc_69.59.joblib
run4,representations,pruned,4_00percent,68.02,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_4_00percent_representations_fusion_svm_acc_68.02.joblib
run5,representations,pruned,4_00percent,70.26,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_4_00percent_representations_fusion_svm_acc_70.26.joblib
run4,representations,pruned,7_84percent,68.18,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_7_84percent_representations_fusion_svm_acc_68.18.joblib
run5,representations,pruned,7_84percent,69.34,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_7_84percent_representations_fusion_svm_acc_69.34.joblib
run4,representations,pruned,11_53percent,68.59,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_11_53percent_representations_fusion_svm_acc_68.59.joblib
run5,representations,pruned,11_53percent,69.21,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_11_53percent_representations_fusion_svm_acc_69.21.joblib
run4,representations,pruned,15_07percent,69.94,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_15_07percent_representations_fusion_svm_acc_69.94.joblib
run5,representations,pruned,15_07percent,69.13,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_15_07percent_representations_fusion_svm_acc_69.13.joblib
run4,representations,pruned,18_46percent,68.97,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_18_46percent_representations_fusion_svm_acc_68.97.joblib
run5,representations,pruned,18_46percent,69.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_18_46percent_representations_fusion_svm_acc_69.99.joblib
run4,representations,pruned,21_72percent,68.1,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_21_72percent_representations_fusion_svm_acc_68.10.joblib
run5,representations,pruned,21_72percent,69.88,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_21_72percent_representations_fusion_svm_acc_69.88.joblib
run4,representations,pruned,24_86percent,69.77,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_24_86percent_representations_fusion_svm_acc_69.77.joblib
run5,representations,pruned,24_86percent,69.1,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_24_86percent_representations_fusion_svm_acc_69.10.joblib
run4,representations,pruned,27_86percent,70.47,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_27_86percent_representations_fusion_svm_acc_70.47.joblib
run5,representations,pruned,27_86percent,68.45,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_27_86percent_representations_fusion_svm_acc_68.45.joblib
run4,representations,pruned,30_75percent,67.21,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_30_75percent_representations_fusion_svm_acc_67.21.joblib
run5,representations,pruned,30_75percent,70.8,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_30_75percent_representations_fusion_svm_acc_70.80.joblib
run4,representations,pruned,33_52percent,66.86,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_33_52percent_representations_fusion_svm_acc_66.86.joblib
run5,representations,pruned,33_52percent,69.91,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_33_52percent_representations_fusion_svm_acc_69.91.joblib
run4,representations,pruned,36_18percent,67.86,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_36_18percent_representations_fusion_svm_acc_67.86.joblib
run5,representations,pruned,36_18percent,70.02,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_36_18percent_representations_fusion_svm_acc_70.02.joblib
run4,representations,pruned,38_73percent,69.32,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_38_73percent_representations_fusion_svm_acc_69.32.joblib
run5,representations,pruned,38_73percent,70.07,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_38_73percent_representations_fusion_svm_acc_70.07.joblib
run4,representations,pruned,41_18percent,67.94,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_41_18percent_representations_fusion_svm_acc_67.94.joblib
run5,representations,pruned,41_18percent,68.53,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_41_18percent_representations_fusion_svm_acc_68.53.joblib
run4,representations,pruned,43_53percent,68.18,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_43_53percent_representations_fusion_svm_acc_68.18.joblib
run5,representations,pruned,43_53percent,69.85,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_43_53percent_representations_fusion_svm_acc_69.85.joblib
run4,representations,pruned,45_79percent,67.65,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_45_79percent_representations_fusion_svm_acc_67.65.joblib
run5,representations,pruned,45_79percent,70.42,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_45_79percent_representations_fusion_svm_acc_70.42.joblib
run4,representations,pruned,47_96percent,67.91,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_47_96percent_representations_fusion_svm_acc_67.91.joblib
run5,representations,pruned,47_96percent,70.74,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_47_96percent_representations_fusion_svm_acc_70.74.joblib
run4,representations,pruned,50_04percent,67.13,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run4__pruned_50_04percent_representations_fusion_svm_acc_67.13.joblib
run5,representations,pruned,50_04percent,70.61,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/representations/run5__pruned_50_04percent_representations_fusion_svm_acc_70.61.joblib
